#OTU ID,L1S8,L1S57,L1S76,L1S105,L1S140,L1S208,L1S257,L1S281
bacteria379,0,0,0,0,0,0,0,0
bacteria380,0,0,0,0,0,0,0,0
bacteria381,0,0,0,0,0,0,0,0
bacteria382,0,0,0,0,0,0,0,0
bacteria383,0,0,0,0,0,0,0,0
bacteria384,0,0,0,0,0,0,0,0
bacteria385,0,0,0,0,0,0,0,0
bacteria386,0,0,0,0,0,0,0,0
bacteria387,0.000360577,0,0,0,0,0,0,0
bacteria388,0.028125,0,0.021161027,0.003309432,0.007313908,0.000304198,0,0.000662427
bacteria389,0,0,0,0,0,0,0,0
bacteria390,0,0,0,0,0,0,0,0
bacteria391,0.000120192,0,0,0,0,0,0,0
bacteria392,0,0,0,0,0,0,0,0
bacteria393,0,0,0,0,0,0,0,0
bacteria394,0,0,0,0,0,0,0,0
bacteria395,0,0,0,0,0,0,0,0
bacteria396,0,0,0,0,0,0,0,0
bacteria397,0,0,0,0.000110314,0,0,0,0.000132485
bacteria398,0,0,0,0,0,0,0,0
bacteria399,0,0,0,0,0,0,0,0
bacteria400,0,0,0,0,0,0,0,0
bacteria401,0.000600962,0.000102114,0,0,0.000353899,0.000506997,0,0.000132485
bacteria402,0,0,0,0,0,0,0,0
bacteria403,0,0,0,0,0,0,0,0
bacteria404,0,0,0,0,0,0,0,0
bacteria405,0,0,0.000113161,0,0,0.000304198,0,0
bacteria406,0,0,0,0,0,0,0,0
bacteria407,0,0,0,0,0,0,0,0.000132485
bacteria408,0,0,0,0,0,0,0,0
bacteria409,0,0,0,0,0,0,0,0
bacteria410,0,0,0,0,0,0,0,0
bacteria411,0,0.000102114,0,0.000330943,0,0.000101399,0,0.000132485
bacteria412,0,0,0,0,0,0,0,0
bacteria413,0,0,0,0,0,0,0,0
bacteria414,0,0,0,0,0,0,0,0
bacteria415,0,0,0,0,0,0,0,0
bacteria416,0,0,0,0,0,0,0,0
bacteria417,0,0,0,0,0,0,0,0
bacteria418,0,0,0,0,0,0,0,0
bacteria419,0,0,0,0,0,0,0,0
bacteria420,0,0,0,0,0,0,0,0
bacteria421,0,0,0,0,0,0,0,0
bacteria422,0,0,0,0,0,0,0,0
bacteria423,0,0,0,0,0,0,0,0
bacteria424,0,0,0,0,0,0,0,0
bacteria425,0,0,0,0,0,0,0,0
bacteria426,0,0,0,0,0,0,0,0
bacteria427,0,0,0,0,0,0,0,0
bacteria428,0,0,0,0,0,0,0,0
bacteria429,0,0,0,0,0,0,0,0
bacteria430,0,0,0,0,0,0,0,0
bacteria431,0,0,0,0,0,0,0,0
bacteria432,0,0,0,0,0,0,0,0
bacteria433,0,0,0,0,0,0,0,0
bacteria434,0.105048077,0.005309915,0.001697409,0.037837838,0,0.000304198,0.001256106,0
bacteria435,0,0,0,0,0,0,0,0
bacteria436,0,0,0,0,0,0,0,0
bacteria437,0,0,0,0,0,0,0,0
bacteria438,0,0,0,0,0,0,0,0
bacteria439,0,0,0,0,0,0,0,0
bacteria440,0,0,0,0,0,0,0,0
bacteria441,0,0,0,0,0,0,0,0
